"산업분류","규모별",2020 1/2,2020 1/2,2020 1/2,2020 1/2,2020 1/2,2020 1/2,2020 2/2,2020 2/2,2020 2/2,2020 2/2,2020 2/2,2020 2/2,2021 1/2,2021 1/2,2021 1/2,2021 1/2,2021 1/2,2021 1/2
"산업분류","규모별",상용총근로시간 (시간),상용소정실근로시간 (시간),상용초과근로시간 (시간),상용정액급여 (원),상용초과급여 (원),상용특별급여 (원),상용총근로시간 (시간),상용소정실근로시간 (시간),상용초과근로시간 (시간),상용정액급여 (원),상용초과급여 (원),상용특별급여 (원),상용총근로시간 (시간),상용소정실근로시간 (시간),상용초과근로시간 (시간),상용정액급여 (원),상용초과급여 (원),상용특별급여 (원)
"가구 제조업","30~99인",179.9,157.9,22.0,2955848,376845,49884,185.0,161.1,23.8,2902151,397437,62601,179.1,158.0,21.1,3018678,362451,38459
"가구 제조업","100~299인",169.8,154.1,15.7,2957853,388190,583928,179.5,161.1,18.4,2835802,464132,456663,176.5,157.1,19.5,2934486,491422,487684
"가구 제조업","300인이상",,,,,,,,,,,,,,,,,,
"기타 제품 제조업","5~9인",168.8,164.7,4.0,2703800,51575,23874,162.5,161.5,1.0,2735695,14043,26596,164.6,163.7,0.9,2862842,14769,35417
"기타 제품 제조업","10~29인",167.1,159.7,7.4,2967738,127011,118574,178.7,164.9,13.8,3037404,226962,240124,172.7,160.3,12.4,3167143,194094,155982
"기타 제품 제조업","30~99인",169.1,157.7,11.4,2707435,189983,133674,172.1,160.2,11.9,2713783,206268,199473,172.5,159.5,13.0,2889027,249900,209862
"기타 제품 제조업","100~299인",174.6,154.0,20.6,2589802,362188,199969,185.1,158.3,26.8,2662292,465084,426660,190.1,160.6,29.5,2677746,506542,276658
"기타 제품 제조업","300인이상",,,,,,,,,,,,,,,,,,
"산업용 기계 및 장비 수리업","5~9인",169.3,167.5,1.8,2773248,26806,66873,169.4,168.3,1.2,2857584,18067,88210,173.0,171.7,1.2,2989816,19774,47654
"산업용 기계 및 장비 수리업","10~29인",174.4,162.5,11.9,2663110,200455,158899,178.8,167.1,11.7,2718481,192131,409754,167.5,162.9,4.6,2851868,98671,138009
"산업용 기계 및 장비 수리업","30~99인",174.0,156.5,17.5,2959442,297859,109927,173.6,157.9,15.7,2992838,276109,190163,169.1,154.6,14.5,3018086,245614,225503
"산업용 기계 및 장비 수리업","100~299인",174.6,153.1,21.5,4778124,548574,1802910,176.0,154.7,21.2,4841063,551424,1304541,175.6,153.6,22.0,4968202,600788,2370113
"산업용 기계 및 장비 수리업","300인이상",148.9,139.4,9.5,3096524,269669,1627274,145.0,134.4,10.6,2961548,314375,1507855,158.0,144.4,13.7,3344960,391428,1761797
"전기, 가스, 증기 및 공기 조절 공급업","5~9인",171.1,157.1,14.0,4652348,577143,1133973,176.6,161.1,15.5,4560089,672932,1389480,174.8,159.9,14.9,4627541,694514,1010952
"전기, 가스, 증기 및 공기 조절 공급업","10~29인",166.1,156.6,9.5,4474653,327504,1120462,171.5,160.1,11.3,4518618,393541,1397147,167.4,156.8,10.6,4633307,383408,1187563
"전기, 가스, 증기 및 공기 조절 공급업","30~99인",161.9,153.4,8.5,4629329,316787,1226480,164.1,154.6,9.5,4597145,349949,1768633,163.1,154.1,9.0,4684306,328448,1249645
"전기, 가스, 증기 및 공기 조절 공급업","100~299인",156.6,149.7,6.8,4824324,340349,1432202,161.4,151.8,9.6,4809529,392269,1886421,157.6,149.4,8.3,4949675,374401,1396762
"전기, 가스, 증기 및 공기 조절 공급업","300인이상",164.4,153.3,11.1,4986135,388829,1587495,165.3,153.8,11.6,5043812,418362,2467994,161.4,151.4,10.0,5116447,386945,1641205
