기업명,내용,고용형태,경력,주소1,주소2,기간,직무키워드
케이카(주),                                [K Car케이카] 전주지점 신입 차량평가사 채용,신입,학력무관,전북,전북 전주시,상시채용,"숍마스터, 유통, 유통관리, 판매, 쇼핑몰, 오픈마켓, 전자상거래, 인터넷생활정보, 자동차, 자동차부품, 자동차정비, 자동차영업, 중고차딜러, 가맹점관리, 거래처관리, 영업관리, 영업기획, 검사"
호텔신라,                                [서울/신라면세점] 영업지원 사무 계약직 채용,경력무관,학력무관,서울,서울 중구,~12/31(금),"사무관리, 사무보조, 면세점"
현대오토에버㈜,                                MES 및 제조시스템 PM 부문 경력 채용,경력4년↑,학력무관,서울,서울 강남구,상시채용,"소프트웨어개발, SM, MS-SQL, C#, Java, 시스템프로그래머"
㈜미니게이트,                                [미니게이트] 프론트 개발자 채용,경력3년↑,학력무관,서울,서울 송파구,~03/22(화),Java
연세대학교원주세브란스기독병원,                                교육수련부 용원(계약직) 채용공고                            ,경력무관,학력무관,강원,강원 원주시,~03/22(화),"청소·미화, 가사도우미"
현대오토에버㈜,                                RPA 부문 경력 채용,경력3년↑,학력무관,서울,서울 강남구,상시채용,"RPA, 소프트웨어개발, SM"
현대오토에버㈜,                                총무·교육시스템 개발/운영 부문 경력 채용,경력3년↑,학력무관,서울,서울 강남구,상시채용,"소프트웨어개발, SM, 데이터베이스, Oracle, 웹프로그래머, Java, jsp, Application, Java, Oracle"
㈜미니게이트,                                [미니게이트] 온라인 교육콘텐츠 기획자 채용,경력4년↑,학력무관,서울,서울 송파구,~03/22(화),교수설계
금보개발㈜,                                [오라카이 인사동 스위츠 호텔] 보안팀 신입/경력직 사원 채용 모집                            ,경력무관,초대졸↑,서울,서울 종로구 외,~12/31(금),"컨시어지, 호텔, 호텔리어, 경비, 보안, 순찰, 안전, 안내, 여행사"
㈜우성사료,                                C.A 사업본부 온라인MD / 자사몰 MD 경력채용,경력5년↑,대졸↑,경기,경기 화성시,~12/31(금),"자사몰, 온라인MD"
